;-----The format of this flat file database is as follows:
;-----[object ID name],[full HTML source description (commas re-folded appropriately)][new line]

;-----For arrayed controls with a variable index name in it's ID use a tab character where the variable/index part is located.
;-----Arrayed ID names that start or end with the variable/index are not currently supported and their behavior is undefined in this documentation.

;-----Lines that begin with a semicolon (;), with double forward slashes (//), or are empty are ignored.

PlatformSelect,Select the operating system you have (or will) install the SHOUTcast tools on. This setting is important because it tells how to handle file names and paths for the different platforms.
DNASBasePathInput,If you enter the full path to the folder the DNAS was installed/extracted to the configurator will output settings conducive to a daemon/service run. Leaving it blank will setup for a console configuration.
TranscoderBasePathInput,If you enter the full path to the folder the Transcoder was installed/extracted to the configurator will output settings conducive to a daemon/service run. Leaving it blank will setup for a console configuration.
DNASConfFileInput,Enter the name of the configuration file for the DNAS. Do not enter the absolute path parts or relative file path characters or other special OS dependant file location specification characters (e.g.: <span style="font-family:courier; white-space: pre;"> \ / . .. % : </span>)<br/><br/>This setting will affect default file name for the download and the file name used for generating the startup script/batch file.
TransConfFileInput,Enter the name of the configuration file for the Transcoder. Do not enter the absolute path parts or relative file path characters or other special OS dependant file location specification characters (e.g.: <span style="font-family:courier; white-space: pre;"> \ / . .. % : </span>)<br/><br/>This setting will affect default file name for the download and the file name used for generating the startup script/batch file.
ModeSelect,SHOUTcast 2 (SC2): Uses the newer SHOUTcast 2 and YP2 protocols with sc_serv and sc_trans multi-point / mount system!<br/><br/>Legacy v1 (SC1): Setup for the legacy YP and single stream output e.g. for DNAS v1.9.8 or alternative DNAS servers
EnableLoggingCheckBox,This checkbox controls the setting configuration for both the DNAS and the Transcoder. Checking it enables logging to the log file. Unchecking disables it.
ScreenlogCheckBox,This checkbox controls the setting configuration for both the DNAS and the Transcoder. Checking it enables logging to the console window. Unchecking disables it.
DNASLogFileInput,Enter the relative path and file name for the DNAS log file.
TransLogFileInput,Enter the relative path and file name for the Transcoder log file.
W3CLoggingCheckBox,Check to enable W3C logging. Uncheck to disable.
W3CLogFileInput,Enter the relative path and file name for the W3C log file.
WebClientDebugCheckBox,Check to enable logging of web client connections. Uncheck to disable.
StreamTitleInput,Enter the name of your radio station or stream as you would like it to appear in the stream metadata and on the YP.
StreamURLInput,Enter website/webpage URL for your stream or radio station.
StreamGenreInput,Enter the genre applicable to the format of your station/stream. <a target="_blank" href="http://forums.winamp.com/showthread.php?t=303241">Click here</a> for a list of the supported genres by the SHOUTcast Directory. Only one value can be entered.
;AIMInput,Enter the AIM contact ID to show for the radio station or stream.
;IRCInput,Enter the IRC contact ID to show for the radio station or stream.
;ICQInput,Enter the ICQ contact ID to show for the radio station or stream.
UseMetadataCheckBox,Check to use the in-file metadata stored in file tags. Uncheck to disable.
MetadataPatternInput,Enter the pattern used for extracting metadata from the filename.<br/><br/>Note: See <a target="_blank" href="http://wiki.winamp.com/wiki/SHOUTcast_DNAS_Transcoder_2#Filename_Metadata_Extraction">section 6.0</a> in the Transcoder documentation for more details about this.
DisplayMetadataPatternInput,Enter the pattern to use to form the metadata output string for SHOUTcast 1 metadata.
TitleFormatInput,Enter the pattern string to be used in-place of the default icy-name string being used.
URLFormatInput,Enter the string to be used in-place of the default icy-url string being used.
DNASPublicSelect,This setting allows you to override the public setting from the connected source when a connection is being made to the YP directory.<br/><br/><b>Set by source</b><br/>&nbsp;&nbsp;&nbsp;Use the setting provided by the source.<br/><b>Always</b><br/>&nbsp;&nbsp;&nbsp;Force the source to be public.<br/><b>Never</b><br/>&nbsp;&nbsp;&nbsp;Never allow the use the setting provided by the source.
TransPublicCheckBox,Check to register the radio station or stream with the YP/directory. Uncheck to disable public listing.<br/><br/>Note: If connected to sc_serv then this is used by the 'DNAS public' setting unless it is being overriden (see DNAS documentation - <a target="_blank" href="http://wiki.winamp.com/wiki/SHOUTcast_DNAS_Server_2#YP_Server_Behaviour">section 4.14</a>).
MetaIntervalInput,Enter the metadata transmission interval in bytes.<br/><br/>This is for the legacy YP protocol only.
YPAddrInput,Enter the address of a different YP server if required.
YPPortInput,Enter the port used to connect to the YP server if required.<br/><br/>Port 666 for broadcasters behind a proxy.
YPPathInput,Enter the port path to the YP2 services on the server.
YPTimeoutInput,Enter the timeout interval in seconds for requests made to the YP server.
YPMaxRetriesInput,Enter the maximum number of times a YP request will be re-tried.<br/><br/>This is for the legacy YP protocol only.
YPReportIntervalInput,Enter the maximum time in which the YP must have contacted the server in seconds.<br/><br/>This is for the legacy YP protocol only.
YPMinReportIntervalInput,Enter the minimum time in which the YP can contact the server in seconds.<br/><br/>This is for the legacy YP protocol only.
PortBaseInput,Enter the port which clients and sources need to use to connect to the server. This option controls the primary port configuration for both the DNAS and Transcoder.<br/><br/>Note: SHOUTcast 1 sources are only able to connect to 'portbase + 1'.
TransAdminPortInput,Enter the port used to access the administrative control page on the Transcoder. If no valid port is specified (i.e. zero) then this feature is disabled.
RobotsTxtInput,Enter the relative path and file name for a custom robots.txt file to be used instead of the one built into the DNAS. The default robots.txt returned by the DNAS contains the following:<br/>&nbsp;&nbsp;&nbsp;&nbsp;User-agent:*<br/>&nbsp;&nbsp;&nbsp;&nbsp;Disallow:/
DNASIPInput,Enter the IP address or the FQDN of the network device that the DNAS will be running on relative to the Transcoder if it's on a different machine.
SourceBindAddressInput,Enter the server side binding address for sources to connect on.
DestinationBindAddressInput,Enter the server side binding address for listeners.
DJPortInput,Enter the port to listen on for DJ access using the SHOUTcast 1 protocol.<br/><br/>This actually attempts to open <b>Port+1</b> or <b>Port</b> and <b>Port+1</b> depending on the Transcoder version being used.<br><br>If the value specified conflicts with SC2 DJ port both DJ port configurations will be dropped from the configuration output.
DJPort2Input,Enter the port to listen on for DJ access using the SHOUTcast 2 protocol.<br/><br/>If the value specified conflicts with the older DJ port both DJ port configurations will be dropped from the configuration output.<br><br>If this is specified as zero, with compatbile Transcoder releases, the Transcoder will setup the DJ ports so only 'DJ port' needs to be provided to the DJs irrespective of the source version used by them to connect.
NameLookupsCheckBox,Check to allow reverse DNS look-ups on incoming IP addresses. Uncheck to disable.
PasswordInput,Enter the desired password for source connections to the DNAS. The Transcoder configuration output will be updated to match.
AdminPasswordInput,Enter the desired password to access the administrative control page in the Transcoder and the password for accessing the DNAS features.
DJCipherInput,Enter the key used to obfuscate the initial handshaking with the SHOUTcast 2 protocol.<br/><br/>Only change this if you really need to do so as not all SHOUTcast 2 clients will allow you to edit this value from the default value.<br/><br/>If using the Source DSP plug-in then see <a href="http://wiki.winamp.com/wiki/Source_DSP_Plug-in#SHOUTcast_2_Cipher_Key">dsp_sc.txt - section 5.0</a> for details on how to change the plug-in to use a differnet value.
VUImageDirectoryInput,Enter the relative folder path in which to look for the VU meter images to use.<br/><br/>Note: The image files are named vuimage_XX.<vuimagesuffix> where 'XX' is from 0 to 100 and the path specified will need to be properly terminated to work correctly.
VUImageSuffixInput,Enter the suffix for VU meter images to be used from the image directory.
VUImageMimeTypeInput,Enter the mime type for the VU images to be used.
DNASFlashPolicyFileInput,Enter the relative path and filename of the file containing the flash crossdomain policies for the DNAS.
DNASFlashPolicyServerPortInput,Enter the the port used for the flash policy server on the DNAS.<br/><br/>Note: Use port '843' if you want to turn this on.
FlashPolicyFileInput,Enter the relative path and filename of the file which contains the flash crossdomain policies to be used for the Transcoder.
FlashPolicyServerPortInput,Enter the the port used for the flash policy server on the Transcoder.<br/><br/>Note: Use port '843' if you want to turn this on.
MaxListenersInput,Enter the maximum number of clients allowed to connect to the server. This cannot be zero (0).
